rank,word,freq,tier,domain
1,ไม่,3227,R1,spoken
2,นะ,2603,R1,spoken
3,ไป,2437,R1,spoken
4,แล้ว,2353,R1,spoken
5,ก็,2271,R1,spoken
6,จะ,2072,R1,spoken
7,ครับ,2023,R1,spoken
8,ได้,1951,R1,spoken
9,เลย,1888,R1,spoken
10,มา,1674,R1,spoken
11,พี่,1627,R1,spoken
12,มัน,1579,R1,spoken
13,อะไร,1427,R1,spoken
14,ว่า,1421,R1,spoken
15,เรา,1388,R1,spoken
16,คุณ,1327,R1,spoken
17,ที่,1304,R1,spoken
18,ให้,1285,R1,spoken
19,นี่,1229,R1,spoken
20,อะ,1222,R1,spoken
21,มี,1192,R1,spoken
22,ผม,1176,R1,spoken
23,ค่ะ,1133,R1,spoken
24,เป็น,1112,R1,spoken
25,เหรอ,1068,R1,spoken
26,ฉัน,983,R1,spoken
27,เนี่ย,871,R1,spoken
28,อยู่,849,R1,spoken
29,ของ,815,R1,spoken
30,คน,749,R1,spoken
31,แต่,741,R1,spoken
32,ทำ,736,R1,spoken
33,กัน,735,R1,spoken
34,เขา,732,R1,spoken
35,ไหม,730,R1,spoken
36,แม่,730,R1,spoken
37,กับ,712,R1,spoken
38,เอา,694,R1,spoken
39,นี้,672,R1,spoken
40,ต้อง,665,R1,spoken
41,ด้วย,611,R1,spoken
42,เดี๋ยว,607,R1,spoken
43,เฮ้ย,595,R1,spoken
44,ไง,587,R1,spoken
45,ถ้า,579,R1,spoken
46,ดี,565,R1,spoken
47,รู้,553,R1,spoken
48,ใช่,552,R1,spoken
49,น่ะ,537,R1,spoken
50,วะ,537,R1,spoken
51,เธอ,517,R1,spoken
52,คือ,509,R1,spoken
53,คะ,508,R1,spoken
54,ทำไม,493,R1,spoken
55,อยาก,462,R1,spoken
56,ก่อน,444,R1,spoken
57,อีก,442,R1,spoken
58,นะคะ,433,R1,spoken
59,มาก,432,R1,spoken
60,ใคร,421,R1,spoken
61,ยัง,415,R1,spoken
62,ไหน,407,R1,spoken
63,ล่ะ,390,R1,spoken
64,สิ,379,R1,spoken
65,บอก,377,R1,spoken
66,ใน,369,R1,spoken
67,อย่า,367,R1,spoken
68,หน่อย,365,R1,spoken
69,ดู,363,R1,spoken
70,คิด,361,R1,spoken
71,หนู,352,R1,spoken
72,ยังไง,344,R1,spoken
73,ไว้,329,R1,spoken
74,ลูก,328,R1,spoken
75,เรื่อง,321,R1,spoken
76,แค่,310,R1,spoken
77,เปล่า,307,R1,spoken
78,แก,303,R1,spoken
79,แบบ,303,R1,spoken
80,พ่อ,296,R1,spoken
81,เอง,294,R1,spoken
82,พวก,293,R1,spoken
83,ยู,290,R1,spoken
84,งั้น,289,R1,spoken
85,ขอ,287,R1,spoken
86,เออ,282,R1,spoken
87,จริงๆ,278,R1,spoken
88,หรอก,272,R1,spoken
89,วัน,268,R1,spoken
90,ช่วย,265,R1,spoken
91,เห็น,263,R1,spoken
92,นั้น,262,R1,spoken
93,พูด,258,R1,spoken
94,โอเค,256,R1,spoken
95,ชอบ,254,R1,spoken
96,เค้า,252,R1,spoken
97,ขอบคุณ,251,R1,spoken
98,ถึง,248,R1,spoken
99,ใช่ไหม,246,R1,spoken
100,อย่าง,245,R1,spoken
101,กว่า,242,R1,spoken
102,แบบนี้,233,R1,spoken
103,เว้ย,233,R1,spoken
104,เร็ว,229,R1,spoken
105,ขอโทษ,226,R1,spoken
106,ไม่ต้อง,222,R1,spoken
107,ก็ได้,220,R1,spoken
108,สอง,218,R1,spoken
109,และ,214,R1,spoken
110,อ้าว,213,R1,spoken
111,กิน,212,R1,spoken
112,บ้าน,212,R1,spoken
113,ดิ,211,R1,spoken
114,เคย,204,R1,spoken
115,หมด,201,R1,spoken
116,นาย,199,R1,spoken
117,บ้าง,190,R1,spoken
118,ออก,189,R1,spoken
119,ว่ะ,188,R1,spoken
120,หนึ่ง,185,R1,spoken
121,หา,182,R1,spoken
122,วันนี้,180,R1,spoken
123,คุย,179,R1,spoken
124,ทุกคน,178,R1,spoken
125,แล้วก็,176,R1,spoken
126,ท่าน,176,R1,spoken
127,เจอ,175,R1,spoken
128,เล่น,174,R1,spoken
129,กะ,174,R1,spoken
130,ตอนนี้,170,R1,spoken
131,ปะ,170,R1,spoken
132,น้อง,169,R1,spoken
133,พอ,168,R1,spoken
134,ที่นี่,167,R1,spoken
135,จริง,167,R1,spoken
136,กลับ,166,R1,spoken
137,สวัสดี,165,R1,spoken
138,รอ,163,R1,spoken
139,ขึ้น,162,R1,spoken
140,เมษา,158,R1,spoken
141,หรือเปล่า,154,R1,spoken
142,เอ่อ,151,R1,spoken
143,งาน,151,R1,spoken
144,เพราะ,151,R1,spoken
145,ถาม,148,R1,spoken
146,ไม่เป็นไร,146,R1,spoken
147,เวลา,143,R1,spoken
148,เด็ก,142,R1,spoken
149,เพื่อน,142,R1,spoken
150,เจ๊,142,R1,spoken
151,เหมือน,141,R1,spoken
152,ลอง,141,R1,spoken
153,โอ๊ย,141,R1,spoken
154,จาก,141,R1,spoken
155,แนน,139,R1,spoken
156,เข้าใจ,135,R1,spoken
157,ฟัง,134,R1,spoken
158,ดีกว่า,133,R1,spoken
159,ชื่อ,133,R1,spoken
160,การ,129,R1,spoken
161,บอ,128,R1,spoken
162,คง,126,R1,spoken
163,รีบ,125,R1,spoken
