rank,word,freq,tier,domain
164,อือ,125,R1,spoken
165,เม,125,R1,spoken
166,ปล่อย,124,R1,spoken
167,ส่ง,122,R1,spoken
168,รัก,121,R1,spoken
169,เหมือนกัน,121,R1,spoken
170,เกิด,121,R1,spoken
171,ขนาด,120,R1,spoken
172,สาม,119,R1,spoken
173,เข้า,119,R1,spoken
174,ตัว,118,R1,spoken
175,เยอะ,118,R1,spoken
176,หมอ,117,R1,spoken
177,บอส,117,R1,spoken
178,ใจ,117,R1,spoken
179,อย่างนี้,116,R1,spoken
180,ทำให้,116,R1,spoken
181,ทำงาน,116,R1,spoken
182,เงิน,115,R1,spoken
183,พา,114,R1,spoken
184,เรียก,114,R1,spoken
185,เพลง,114,R1,spoken
186,เพิ่ง,113,R1,spoken
187,ฮะ,113,R1,spoken
188,เถอะ,113,R1,spoken
189,ตาม,113,R1,spoken
190,ซื้อ,113,R1,spoken
191,ต่อ,112,R1,spoken
192,ปี,111,R1,spoken
193,ใหม่,111,R1,spoken
194,ลง,110,R1,spoken
195,จูน,109,R1,spoken
196,ลืม,107,R1,spoken
197,น่าจะ,105,R1,spoken
198,อ๋อ,105,R1,spoken
199,ทาง,105,R1,spoken
200,ตัวเอง,105,R1,spoken
201,น่า,104,R1,spoken
202,โดน,104,R1,spoken
203,หน้า,104,R1,spoken
204,ใช้,103,R1,spoken
205,ฮิลล์,103,R1,spoken
206,ห้อง,101,R1,spoken
207,ใจเย็น,100,R1,spoken
208,นาน,100,R1,spoken
209,เอ๊ย,100,R1,spoken
210,ละ,100,R1,spoken
211,คนเดียว,99,R1,spoken
212,เชื่อ,98,R1,spoken
213,เก็บ,98,R1,spoken
214,แหละ,96,R1,spoken
215,กำลัง,96,R1,spoken
216,นั่ง,95,R1,spoken
217,เจ,95,R1,spoken
218,จัง,94,R1,spoken
219,จ้ะ,94,R1,spoken
220,ไอ,93,R1,spoken
221,ถูก,92,R1,spoken
222,เข้าไป,91,R1,spoken
223,ริน,91,R1,spoken
224,ครู,90,R1,spoken
225,กลับมา,90,R1,spoken
226,นั่น,90,R1,spoken
227,รู้จัก,88,R1,spoken
228,สัก,88,R1,spoken
229,แน่,88,R1,spoken
230,หรือ,88,R1,spoken
231,เลิก,87,R1,spoken
232,ห้า,87,R1,spoken
233,เพื่อ,86,R1,spoken
234,เชิญ,86,R1,spoken
235,ขาย,86,R1,spoken
236,หยุด,85,R1,spoken
237,เรียน,84,R1,spoken
238,เนอะ,84,R1,spoken
239,เริ่ม,84,R1,spoken
240,ผู้หญิง,84,R1,spoken
241,รู้สึก,84,R1,spoken
242,พวกเรา,83,R1,spoken
243,เข้ามา,82,R1,spoken
244,กลัว,82,R1,spoken
245,เก่ง,82,R1,spoken
246,อาม่า,82,R1,spoken
247,โห,82,R1,spoken
248,เจอกัน,81,R1,spoken
249,ตั้ง,81,R1,spoken
250,โทร,81,R1,spoken
251,แฟน,81,R2,spoken
252,น้ำ,81,R2,spoken
253,สวย,80,R2,spoken
254,โคตร,80,R2,spoken
255,ตอน,80,R2,spoken
256,เกม,80,R2,spoken
257,มั้ย,80,R2,spoken
258,อาจจะ,79,R2,spoken
259,ซะ,79,R2,spoken
260,ฆ่า,79,R2,spoken
261,อืม,79,R2,spoken
262,นอน,78,R2,spoken
263,เหอะ,78,R2,spoken
264,แล้วกัน,77,R2,spoken
265,กลับบ้าน,77,R2,spoken
266,ที่สุด,77,R2,spoken
267,ไหว,77,R2,spoken
268,แต่ว่า,76,R2,spoken
269,เลือก,76,R2,spoken
270,ที,76,R2,spoken
271,อยู่แล้ว,75,R2,spoken
272,ตี๋,75,R2,spoken
273,ได้ยิน,74,R2,spoken
274,นึง,74,R2,spoken
275,ออกมา,73,R2,spoken
276,รับ,73,R2,spoken
277,ตำรวจ,72,R2,spoken
278,เดียว,72,R2,spoken
279,พอดี,71,R2,spoken
280,รถ,70,R2,spoken
281,ฮัลโหล,68,R2,spoken
282,เสร็จ,67,R2,spoken
283,พร้อม,67,R2,spoken
284,เป็นไง,67,R2,spoken
285,อา,67,R2,spoken
286,เปียโน,67,R2,spoken
287,เหมียว,67,R2,spoken
288,เปิด,66,R2,spoken
289,มากกว่า,66,R2,spoken
290,นั่นแหละ,66,R2,spoken
291,ทั้ง,66,R2,spoken
292,จัดการ,65,R2,spoken
293,ลุง,65,R2,spoken
294,ส่วน,64,R2,spoken
295,ทอย,64,R2,spoken
296,ด้วยกัน,63,R2,spoken
297,จบ,63,R2,spoken
298,ดูแล,63,R2,spoken
299,ตั้งแต่,63,R2,spoken
300,ข้า,63,R2,spoken
301,ดาว,63,R2,spoken
302,เพราะว่า,62,R2,spoken
303,ใส่,62,R2,spoken
304,จน,62,R2,spoken
305,เอ็ง,62,R2,spoken
306,ทุก,61,R2,spoken
307,ดีใจ,61,R2,spoken
308,ตรงนี้,61,R2,spoken
309,กี่,61,R2,spoken
310,ร้าน,61,R2,spoken
311,โทษ,60,R2,spoken
312,สิ่ง,60,R2,spoken
313,คนอื่น,60,R2,spoken
314,ทุกอย่าง,60,R2,spoken
315,ผ่าน,60,R2,spoken
316,จับ,60,R2,spoken
317,คืน,59,R2,spoken
318,ยอม,59,R2,spoken
319,ไร,59,R2,spoken
320,ซิ,59,R2,spoken
321,บริษัท,59,R2,spoken
322,ป๊า,59,R2,spoken
323,ทีม,59,R2,spoken
324,แรก,58,R2,spoken
325,ไปหา,58,R2,spoken
326,ติด,58,R2,spoken
327,วิน,57,R2,spoken
328,มีเรื่อง,57,R2,spoken
329,อันนี้,57,R2,spoken
330,ค่า,57,R2,spoken
331,หลาย,57,R2,spoken
332,ต่อไป,57,R2,spoken
333,ตา,57,R2,spoken
334,ฝาก,56,R2,spoken
335,ผิด,56,R2,spoken
336,ที่ไหน,56,R2,spoken
337,เมื่อกี้,56,R2,spoken
338,อร่อย,56,R2,spoken
339,ทำได้,56,R2,spoken
340,ผู้ชาย,56,R2,spoken
341,สี่,56,R2,spoken
342,ใหญ่,56,R2,spoken
343,จำ,56,R2,spoken
344,เฮีย,56,R2,spoken
345,เปลี่ยน,55,R2,spoken
346,แค่นี้,55,R2,spoken
347,หาย,55,R2,spoken
348,หรือยัง,55,R2,spoken
349,ต้น,55,R2,spoken
350,น้า,55,R2,spoken
351,ยาก,54,R2,spoken
352,สบาย,54,R2,spoken
353,นี้แหละ,54,R2,spoken
354,เดิน,54,R2,spoken
355,ปกติ,54,R2,spoken
356,ควร,53,R2,spoken
357,ชีวิต,53,R2,spoken
358,ปิด,53,R2,spoken
359,เสียง,53,R2,spoken
360,แก้ว,53,R2,spoken
361,ทิ้ง,53,R2,spoken
362,หรือไม่,53,R2,spoken
363,เดย์,53,R2,spoken
364,ยิ่ง,52,R2,spoken
365,อีกแล้ว,52,R2,spoken
366,มั้ง,52,R2,spoken
367,ทัน,52,R2,spoken
368,ลา,52,R2,spoken
369,อุ๊ย,52,R2,spoken
370,ให้ได้,52,R2,spoken
371,ล้าน,52,R2,spoken
372,ป้า,52,R2,spoken
373,หก,51,R2,spoken
374,ทั้งหมด,51,R2,spoken
375,เหลือ,51,R2,spoken
376,ฉิบหาย,51,R2,spoken
377,สอน,50,R2,spoken
378,เดี๋ยวนี้,50,R2,spoken
379,เดือน,50,R2,spoken
380,ระวัง,50,R2,spoken
381,เจ้า,50,R2,spoken
382,แป๊บ,50,R2,spoken
383,แอม,50,R2,spoken
384,โลก,49,R2,spoken
385,พรุ่งนี้,49,R2,spoken
386,ที่จะ,49,R2,spoken
387,สู้,49,R2,spoken
388,หนี,49,R2,spoken
389,หลอก,49,R2,spoken
390,ตอบ,49,R2,spoken
391,จ่าย,48,R2,spoken
392,เรียบร้อย,48,R2,spoken
393,คืนนี้,48,R2,spoken
394,สำหรับ,47,R2,spoken
395,มอง,47,R2,spoken
396,แปลก,47,R2,spoken
397,ห้าม,47,R2,spoken
398,เล่า,47,R2,spoken
399,เจ้าคะ,47,R2,spoken
400,แปล,46,R2,spoken
401,ขอบใจ,45,R2,spoken
402,น่ารัก,45,R2,spoken
403,ยุ่ง,45,R2,spoken
404,จัด,45,R2,spoken
405,มือ,45,R2,spoken
406,เอ,45,R2,spoken
407,เสีย,45,R2,spoken
408,กาย,45,R2,spoken
409,สนุก,44,R2,spoken
410,นัก,44,R2,spoken
411,หรือไง,44,R2,spoken
412,หรือว่า,44,R2,spoken
413,สิบ,44,R2,spoken
414,ตื่น,44,R2,spoken
415,เจ้าค่ะ,44,R2,spoken
416,ถ่าย,43,R2,spoken
417,สนใจ,43,R2,spoken
418,รอบ,43,R2,spoken
419,สัญญา,43,R2,spoken
420,เจ็บ,43,R2,spoken
421,หือ,43,R2,spoken
422,น้อย,43,R2,spoken
423,หมาก,43,R2,spoken
424,ซัน,43,R2,spoken
425,เบน,43,R2,spoken
426,ดีมาก,42,R2,spoken
427,คุณแม่,42,R2,spoken
428,เอาไว้,42,R2,spoken
429,เพิ่ม,42,R2,spoken
430,นี่แหละ,42,R2,spoken
431,ไปดู,42,R2,spoken
432,ตอนนั้น,42,R2,spoken
433,คำ,42,R2,spoken
434,หนิง,42,R2,spoken
435,ชุด,41,R2,spoken
436,วิ,41,R2,spoken
437,ใกล้,41,R2,spoken
438,อยากได้,41,R2,spoken
439,เมื่อ,41,R2,spoken
440,ค่อย,41,R2,spoken
441,สุด,41,R2,spoken
442,ยิง,41,R2,spoken
443,ฝัน,41,R2,spoken
444,สม,41,R2,spoken
445,สิง,41,R2,spoken
446,อัน,41,R2,spoken
447,ไม่ค่อย,40,R2,spoken
448,เดิม,40,R2,spoken
449,เมื่อไหร่,40,R2,spoken
450,หัน,40,R2,spoken
451,อายุ,40,R2,spoken
452,งี้,40,R2,spoken
453,ผู้กอง,40,R2,spoken
454,อาจารย์,40,R2,spoken
455,ริ,40,R2,spoken
456,ชนะ,40,R2,spoken
457,โจ้,40,R2,spoken
458,เกา,40,R2,spoken
459,ติ,39,R2,spoken
460,ตรง,39,R2,spoken
461,รอด,39,R2,spoken
462,ลัน,39,R2,spoken
463,มาจาก,39,R2,spoken
464,ตกลง,39,R2,spoken
465,บาท,39,R2,spoken
466,ขอให้,39,R2,spoken
467,สุดท้าย,39,R2,spoken
468,เมีย,39,R2,spoken
469,นะเนี่ย,39,R2,spoken
470,ตลอด,38,R2,spoken
471,สั่ง,38,R2,spoken
472,โอ้โห,38,R2,spoken
473,จำได้,38,R2,spoken
474,หลัง,37,R2,spoken
475,เขียน,37,R2,spoken
476,ว่าง,37,R2,spoken
477,แล้,37,R2,spoken
478,เท่าไร,37,R2,spoken
479,อื่น,37,R2,spoken
480,ข้อมูล,37,R2,spoken
481,วิธี,37,R2,spoken
482,ค่อยๆ,37,R2,spoken
483,เป็นห่วง,37,R2,spoken
484,ยาย,37,R2,spoken
485,รู้เรื่อง,36,R2,spoken
486,หิว,36,R2,spoken
487,โดย,36,R2,spoken
488,สำคัญ,36,R2,spoken
489,แรง,36,R2,spoken
490,มานะ,36,R2,spoken
491,คบ,36,R2,spoken
492,ขุน,36,R2,spoken
493,ออเจ้า,36,R2,spoken
494,เหนื่อย,35,R2,spoken
495,ง่าย,35,R2,spoken
496,นาที,35,R2,spoken
497,เดอะ,35,R2,spoken
498,เฉย,35,R2,spoken
499,วจะ,35,R2,spoken
500,เสียใจ,35,R2,spoken
501,เลือด,35,R3,spoken
502,ตรงไหน,35,R3,spoken
503,ไทย,35,R3,spoken
504,เอก,35,R3,spoken
505,โอ,35,R3,spoken
506,รึ,35,R3,spoken
507,กระผม,35,R3,spoken
508,ซอล,35,R3,spoken
509,ยินดี,34,R3,spoken
510,อ่าน,34,R3,spoken
511,เป็นเพื่อน,34,R3,spoken
512,เหยื่อ,34,R3,spoken
513,หมายความว่า,34,R3,spoken
514,ฆาตกร,34,R3,spoken
515,สงสัย,33,R3,spoken
516,ก็ดี,33,R3,spoken
517,เป็นไร,33,R3,spoken
518,กล้า,33,R3,spoken
519,พยายาม,33,R3,spoken
520,หล่อ,33,R3,spoken
521,ตั้งใจ,33,R3,spoken
522,ลูกค้า,33,R3,spoken
523,อร,33,R3,spoken
524,ลื้อ,33,R3,spoken
525,รูป,33,R3,spoken
526,จี,33,R3,spoken
527,โรงเรียน,32,R3,spoken
528,แน่ใจ,32,R3,spoken
529,กินข้าว,32,R3,spoken
530,แย่,32,R3,spoken
531,แน่ๆ,32,R3,spoken
532,หวัง,32,R3,spoken
533,โกรธ,32,R3,spoken
534,เล็ก,32,R3,spoken
535,นิ่ง,32,R3,spoken
536,แผน,32,R3,spoken
537,พบ,32,R3,spoken
538,ข่าว,32,R3,spoken
539,ยา,32,R3,spoken
540,ยืน,32,R3,spoken
541,แตก,32,R3,spoken
542,ตบ,32,R3,spoken
543,กระไร,32,R3,spoken
544,แวว,31,R3,spoken
545,ห่วง,31,R3,spoken
546,อีกที,31,R3,spoken
547,ชวน,31,R3,spoken
548,ความ,31,R3,spoken
549,โอน,31,R3,spoken
550,ด่า,31,R3,spoken
551,แพ้,31,R3,spoken
552,เกิดขึ้น,31,R3,spoken
553,ฤกษ์,31,R3,spoken
554,ช่วยด้วย,31,R3,spoken
555,โอ้,31,R3,spoken
556,เกสร,31,R3,spoken
557,จ๊ะ,30,R3,spoken
558,คิดถึง,30,R3,spoken
559,ดีแล้ว,30,R3,spoken
560,พัน,30,R3,spoken
561,แปด,30,R3,spoken
562,เงียบ,30,R3,spoken
563,สาย,30,R3,spoken
564,หนัง,30,R3,spoken
565,ขา,30,R3,spoken
566,พัก,29,R3,spoken
567,ตังค์,29,R3,spoken
568,ดัง,29,R3,spoken
569,เสือก,29,R3,spoken
570,มีปัญหา,29,R3,spoken
571,โชว์,29,R3,spoken
572,พวกคุณ,29,R3,spoken
573,วันที่,29,R3,spoken
574,ยก,29,R3,spoken
575,วาง,29,R3,spoken
576,สุดยอด,29,R3,spoken
577,ขอตัว,29,R3,spoken
578,คงจะ,29,R3,spoken
579,พระ,29,R3,spoken
580,ช้า,28,R3,spoken
581,คุณพ่อ,28,R3,spoken
582,นัด,28,R3,spoken
583,นึก,28,R3,spoken
584,ครอบครัว,28,R3,spoken
585,หลบ,28,R3,spoken
586,มีความสุข,28,R3,spoken
587,ครั้ง,28,R3,spoken
588,ต้องการ,28,R3,spoken
589,แอบ,28,R3,spoken
590,เผื่อ,28,R3,spoken
591,ต่อให้,28,R3,spoken
592,ใช่ปะ,28,R3,spoken
593,เดียวกัน,28,R3,spoken
594,แดก,28,R3,spoken
595,ร้อย,28,R3,spoken
596,วัด,28,R3,spoken
597,โอ้โฮ,28,R3,spoken
598,เท่,28,R3,spoken
599,หมายถึง,28,R3,spoken
600,จีบ,28,R3,spoken
601,เดี๋ยวก่อน,28,R3,spoken
602,ออกแบบ,28,R3,spoken
603,เรือ,28,R3,spoken
604,ใบ,27,R3,spoken
605,สี,27,R3,spoken
606,มือถือ,27,R3,spoken
607,ยัย,27,R3,spoken
608,บน,27,R3,spoken
609,แข่ง,27,R3,spoken
610,เรื่อยๆ,27,R3,spoken
611,ปลอดภัย,27,R3,spoken
612,สักที,27,R3,spoken
613,กด,27,R3,spoken
614,แทน,27,R3,spoken
615,ปาก,27,R3,spoken
616,แพง,27,R3,spoken
617,ถ่ายรูป,27,R3,spoken
618,กำลังจะ,27,R3,spoken
619,ร้อง,27,R3,spoken
620,มาหา,27,R3,spoken
621,ไฟ,27,R3,spoken
622,อ้อ,27,R3,spoken
623,จูบ,27,R3,spoken
624,แตร,27,R3,spoken
625,ไคลแมกซ์,27,R3,spoken
626,เตรียม,26,R3,spoken
627,ข้าง,26,R3,spoken
628,ฝึก,26,R3,spoken
629,นิดหน่อย,26,R3,spoken
630,อยากรู้,26,R3,spoken
631,จ๋า,26,R3,spoken
632,ชน,26,R3,spoken
633,ยิ้ม,26,R3,spoken
634,เอ็ม,26,R3,spoken
635,ขอร้อง,26,R3,spoken
636,คดี,26,R3,spoken
637,คอย,26,R3,spoken
638,โว้ย,26,R3,spoken
639,แน่นอน,26,R3,spoken
640,จิน,26,R3,spoken
641,พ่อแม่,25,R3,spoken
642,คลิป,25,R3,spoken
643,ทาน,25,R3,spoken
644,นับ,25,R3,spoken
645,ความรัก,25,R3,spoken
646,สร้าง,25,R3,spoken
647,ยุ้ย,25,R3,spoken
648,เสี่ย,25,R3,spoken
649,สูง,25,R3,spoken
650,ระหว่าง,25,R3,spoken
651,สรุป,25,R3,spoken
652,กระเป๋า,25,R3,spoken
653,อาหาร,25,R3,spoken
654,แค,25,R3,spoken
655,กุญแจ,25,R3,spoken
656,เทพ,25,R3,spoken
657,หมู,25,R3,spoken
658,โมง,24,R3,spoken
659,ชั่วโมง,24,R3,spoken
660,ประตู,24,R3,spoken
661,ลงมา,24,R3,spoken
662,นา,24,R3,spoken
663,จ้า,24,R3,spoken
664,เมา,24,R3,spoken
665,ถอย,24,R3,spoken
666,มีเงิน,24,R3,spoken
667,หู,24,R3,spoken
668,รวย,24,R3,spoken
669,ตอนที่,24,R3,spoken
670,เกล,24,R3,spoken
671,มาถึง,24,R3,spoken
672,โม,24,R3,spoken
673,เกินไป,24,R3,spoken
674,พวกเขา,24,R3,spoken
675,ครับผม,24,R3,spoken
676,หมวด,24,R3,spoken
677,ลองดู,23,R3,spoken
678,สนิท,23,R3,spoken
679,แก้,23,R3,spoken
680,สิวะ,23,R3,spoken
681,หนัก,23,R3,spoken
682,เจ๋ง,23,R3,spoken
683,ทั้งนั้น,23,R3,spoken
684,ปัญหา,23,R3,spoken
685,คัน,23,R3,spoken
686,เบา,23,R3,spoken
687,อธิบาย,23,R3,spoken
688,หัวหน้า,23,R3,spoken
689,กุ้ง,23,R3,spoken
690,หัว,23,R3,spoken
691,เท่า,23,R3,spoken
692,ลิ,23,R3,spoken
693,สาว,23,R3,spoken
694,ชัย,23,R3,spoken
695,คู่,23,R3,spoken
696,หึง,23,R3,spoken
697,ท่า,22,R3,spoken
698,บ๊ายบาย,22,R3,spoken
699,เย็น,22,R3,spoken
700,อยู่เลย,22,R3,spoken
701,ต่าง,22,R3,spoken
702,ซ้อม,22,R3,spoken
703,ลุกขึ้น,22,R3,spoken
704,เต้น,22,R3,spoken
705,พิเศษ,22,R3,spoken
706,โชคดี,22,R3,spoken
707,แสน,22,R3,spoken
708,ทราบ,22,R3,spoken
709,เบอร์,22,R3,spoken
710,รวม,22,R3,spoken
711,ที่แล้ว,22,R3,spoken
712,ซึ่ง,22,R3,spoken
713,โธ่,22,R3,spoken
714,จ่า,22,R3,spoken
715,โต,22,R3,spoken
716,มั่นใจ,22,R3,spoken
717,ทำตัว,21,R3,spoken
718,ตรงนั้น,21,R3,spoken
719,วันนั้น,21,R3,spoken
720,กวน,21,R3,spoken
721,เกลียด,21,R3,spoken
722,แถม,21,R3,spoken
723,เลิกกัน,21,R3,spoken
724,สำเร็จ,21,R3,spoken
725,เอาจริง,21,R3,spoken
726,จอด,21,R3,spoken
727,บัญชี,21,R3,spoken
728,วาว,21,R3,spoken
729,เก่า,21,R3,spoken
730,ที่มา,21,R3,spoken
731,คนร้าย,21,R3,spoken
732,ยังอยู่,21,R3,spoken
733,มะ,21,R3,spoken
734,แถว,21,R3,spoken
735,หัวใจ,21,R3,spoken
736,เท่าไหร่,21,R3,spoken
737,ดื่ม,21,R3,spoken
738,ครั้งนี้,21,R3,spoken
739,สามารถ,21,R3,spoken
740,แยก,21,R3,spoken
741,แต่งงาน,21,R3,spoken
742,ดราม่า,21,R3,spoken
743,ดา,21,R3,spoken
744,เจน,21,R3,spoken
745,ปืน,21,R3,spoken
746,เร,21,R3,spoken
747,ปาน,21,R3,spoken
748,ปี่,21,R3,spoken
749,เป็นเรื่อง,20,R3,spoken
750,เหมย,20,R3,spoken
751,พอแล้ว,20,R4,spoken
752,นะจ๊ะ,20,R4,spoken
753,ได้มา,20,R4,spoken
754,ใจดี,20,R4,spoken
755,อันตราย,20,R4,spoken
756,ยอด,20,R4,spoken
757,เสียดาย,20,R4,spoken
758,ร้อน,20,R4,spoken
759,เย,20,R4,spoken
760,โน่น,20,R4,spoken
761,ช่วง,20,R4,spoken
762,พลาด,20,R4,spoken
763,ซวย,20,R4,spoken
764,อย่างงี้,20,R4,spoken
765,รึเปล่า,20,R4,spoken
766,เจ้าแม่,20,R4,spoken
767,ว่าแต่,20,R4,spoken
768,ด่วน,20,R4,spoken
769,เมตตา,20,R4,spoken
770,กา,20,R4,spoken
771,คุณหมอ,20,R4,spoken
772,เกี่ยว,20,R4,spoken
773,ลูกสาว,20,R4,spoken
774,ป๋า,20,R4,spoken
775,เด,20,R4,spoken
776,เมย์,20,R4,spoken
777,ดิฉัน,19,R4,spoken
778,แห่ง,19,R4,spoken
779,อารมณ์,19,R4,spoken
780,ล่า,19,R4,spoken
781,จอ,19,R4,spoken
782,เคลียร์,19,R4,spoken
783,ลบ,19,R4,spoken
784,อะนะ,19,R4,spoken
785,ตก,19,R4,spoken
786,โกหก,19,R4,spoken
787,คำตอบ,19,R4,spoken
788,มีทาง,19,R4,spoken
789,ล้อเล่น,19,R4,spoken
790,ตกใจ,19,R4,spoken
791,เอ้อ,19,R4,spoken
792,เห,19,R4,spoken
793,โต้,19,R4,spoken
794,เลิฟ,19,R4,spoken
795,อั๋น,19,R4,spoken
796,นายห้าง,19,R4,spoken
797,ปฏิเสธ,18,R4,spoken
798,ที่อยู่,18,R4,spoken
799,ต่างหาก,18,R4,spoken
800,ออกจาก,18,R4,spoken
801,จำไว้,18,R4,spoken
802,คิว,18,R4,spoken
803,เมื่อคืน,18,R4,spoken
804,ก็แล้วกัน,18,R4,spoken
805,โรงพยาบาล,18,R4,spoken
806,สบายใจ,18,R4,spoken
807,ง่ายๆ,18,R4,spoken
808,ข้างนอก,18,R4,spoken
809,ราคา,18,R4,spoken
810,ข้อ,18,R4,spoken
811,จุด,18,R4,spoken
812,หน้าตา,18,R4,spoken
813,ไกล,18,R4,spoken
814,กรุงเทพฯ,18,R4,spoken
815,นู่น,18,R4,spoken
816,หยิบ,18,R4,spoken
817,ตี,18,R4,spoken
818,ควีน,18,R4,spoken
819,เต็ม,18,R4,spoken
820,โต๊ะ,18,R4,spoken
821,ทู,18,R4,spoken
822,ประมาณ,18,R4,spoken
823,แต่ง,18,R4,spoken
824,มื้อ,18,R4,spoken
825,เลี้ยง,18,R4,spoken
826,โทรศัพท์,18,R4,spoken
827,ความฝัน,18,R4,spoken
828,ฝรั่ง,18,R4,spoken
829,พัง,18,R4,spoken
